City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
363,Acapulco,MX,16.86,-99.89,80.01,78,63,5.95,broken clouds
364,Telchac,MX,21.2,-89.27,73.99,88,5,4.7,clear sky
365,Sharjah,AE,25.36,55.4,77.0,69,0,5.82,clear sky
366,Tomakomai,JP,42.64,141.6,62.01,82,75,16.11,light rain
367,Miles City,US,46.41,-105.84,42.8,52,1,8.05,clear sky
368,Sorland,NO,67.67,12.69,50.0,81,75,5.82,light rain
369,Goundam,ML,16.41,-3.67,77.67,18,2,10.85,clear sky
370,Launceston,AU,-41.45,147.17,70.0,60,43,17.22,scattered clouds
371,Correia Pinto,BR,-27.58,-50.36,51.03,88,80,4.36,broken clouds
372,Salisbury,GB,51.07,-1.8,60.8,100,100,24.16,light intensity drizzle
373,Kailua,US,21.4,-157.74,80.6,65,75,3.67,broken clouds
374,Hastings,GB,50.86,0.57,61.0,90,100,21.0,overcast clouds
375,Baherden,TM,38.44,57.43,75.49,18,19,5.57,few clouds
376,Tezu,IN,27.92,96.17,76.14,71,82,1.7,light rain
377,Quartucciu,IT,39.25,9.18,51.01,100,15,5.82,few clouds
378,Antofagasta,CL,-23.65,-70.4,59.0,82,40,8.05,scattered clouds
